event,location,latitude,longitude,event_type
"Battle of Waterberg : Lothar von Trotha defeats the Herero people in German South West Africa , and drives them into the Omaheke desert, starting the Herero and Namaqua genocide .",German South West Africa,-22.0,15.0,war
Ismael Montes becomes President of Bolivia .,Bolivia,17.0,-65.0,revolution or coup
Russo-Japanese War : A Japanese infantry charge fails to take Port Arthur .,Port Arthur,40.0,122.5,war
Chris Watson resigns as the first Labor Prime Minister of Australia and is succeeded by George Reid ( Free Trade Party ).,Australia,-12.4,130.8,dynasty change
Faroese Association football club Klaksvíkar Ítróttarfelag is established.,"Klaksvík, Faroe Islands",62.0,-6.8,none
"Griffin Park football ground, home of Brentford F.C. , opens in London.","London, United Kingdom",51.5,-0.2,none
"John Voss sails the rigged dugout canoe Tilikum into the River Thames in England after a 3-year voyage from Victoria, British Columbia , westabout.","River Thames, England",51.5,-0.1,none
British expedition to Tibet : The Dalai Lama signs the Anglo-Tibetan Treaty with Colonel Francis Younghusband .,Tibet,30.8,91.1,purchase or sale of territory
An early study on the relationship between alcohol and cardiovascular disease is published in the United States.,United States,38.9,-77.0,none
New Zealand dolphin Pelorus Jack is individually protected by Order in Council under the Sea Fisheries Act.,New Zealand,-41.0,174.0,none
"Phi Delta Epsilon , the international medical fraternity, is founded by Aaron Brown and 8 of his friends, at Cornell University Medical College .","Cornell University Medical College, United States",42.45,-76.45,none
"Swedish Association football club IFK Göteborg is founded, becoming the 39th IFK-association .","Göteborg, Sweden",57.7,11.9,none
"Alpha Kappa Psi , a co-ed professional business fraternity, is founded on the campus of New York University .","New York University, United States",40.7,-73.9,none
"German journalist Anna Rüling , in a speech to the Scientific-Humanitarian Committee in Berlin, makes the first known public statement of the socio-legal problems faced by lesbians .","Berlin, Germany",52.5,13.4,none
Loftus Road football stadium opens in London.,"London, United Kingdom",51.5,-0.1,none
Pavlos Melas is encircled at Statista and killed during the Macedonian Struggle .,Statista,40.9,22.2,revolution or coup
"Theta Tau , a professional engineering fraternity, is founded at the University of Minnesota in Minneapolis .","Minneapolis, United States",44.97,-93.26,none
In Germany: The Kaiser-Friedrich-Museum opens in Berlin for the display of fine art. Gustav Mahler 's Symphony No. 5 is premiered by the Gürzenich Orchestra Cologne .,Germany,52.5,13.4,none
"Polytechnic University of the Philippines is founded as Manila Business School, through the superintendence of American C. A. O'Reilley.","Manila, Philippines",14.6,120.9,none
"Russo-Japanese War : Dogger Bank incident – The Russian Baltic Fleet fires on British trawlers it mistakes for Japanese torpedo boats, in the North Sea .",North Sea,54.0,-2.0,war
The first underground line of the New York City Subway opens.,"New York City, United States",40.7,-74.0,none
Panama and Uruguay establish diplomatic relations .,,,,none
1904 United States presidential election : Republican incumbent Theodore Roosevelt defeats Democrat Alton B. Parker .,United States,38.9,-77.0,none
"A continuous track tractor is successfully demonstrated by the Holt Manufacturing Company in the United States. The ""caterpillar track"" will come to revolutionize construction vehicles and land warfare.",United States,37.0,-95.0,none
"The St. Petersburg Soviet urges a run on the banks ; the attempt fails, and the executive committee is arrested.","St. Petersburg, Russia",59.9,30.3,revolution or coup
"Charles Dillon Perrine discovers Jupiter 's largest irregular satellite , later called Himalia , at California's Lick Observatory .","California, United States",37.0,-121.5,none
The K.U. or Konservativ Ungdom (Young Conservatives) is founded by Carl F. Herman von Rosen in Denmark.,Denmark,56.0,10.0,none
"Theodore Roosevelt announces his ""Corollary"" to the Monroe Doctrine , stating that the United States will intervene in the Western Hemisphere should Latin American governments prove incapable or unstable.",Western Hemisphere,,,none
"The Pi Kappa Phi fraternity is founded at the College of Charleston in Charleston, South Carolina.","Charleston, South Carolina",32.8,-80.0,none
"The East Boston Tunnel opens, for streetcars .","East Boston, United States",42.36,-71.05,none
"In New York City, the first New Year's Eve celebration is held in Times Square .","New York City, United States",40.7,-74.0,none
"In a major defeat in the Russo-Japanese War , Russian General Anatoly Stessel surrenders Port Arthur , located on mainland China, to the Japanese. On January 3, Japan formally repossesses the port, and renames it Ryojun, holding it for the next 40 years. The area will revert in 1945 to China, and become the Lushunkou District .","Port Arthur, China",39.97,121.62,war
"Baroness Emma Orczy 's play The Scarlet Pimpernel , the forerunner of her novel, opens at the New Theatre in London, beginning a run of 122 performances and numerous revivals.","London, United Kingdom",51.5,-0.1,none
"In the United States: The Lick Observatory announces the discovery on 3 December 1904 of a sixth moon of Jupiter , made by their astronomer Charles D. Perrine . Unlike the first five Jovian satellites discovered, the sixth will be referred to by number as ""Jupiter VI"" until 1975, when named Himalia . The Senate confirms the nomination of William D. Crum , an African-American, to the office of collector of customs at Charleston, South Carolina after Crum's nomination by President Theodore Roosevelt.",United States,37.0,-95.7,none
"Under the supervision of five editors, work begins on the comprehensive Catholic Encyclopedia , subtitled ""An International Work of Reference on the Constitution, Doctrine, Discipline, and History of the Catholic Church"" and published by the Robert Appleton Company, specifically set up in New York City for the purpose. The first volume will appear in 1907.","New York City, United States",40.7,-74.0,religious reform
Jens Christian Christensen takes office as the new Prime Minister of Denmark .,Denmark,56.0,10.0,dynasty change
A series of three 41 metres (135 ft) high tsunamis kill 61 people in Norway in the villages of Ytre Nesdal and Bødal after a rockslide sweeps down Mount Ramnefjell and crashes into Lake Lovatnet .,Norway,61.6,7.3,cataclysm or fire
"In France, Prime Minister Émile Combes and his cabinet announce their resignations after being implicated in the Affair of the Cards ( L'Affaire des Fiches ), a system set up by the War Ministry to purge the French Army officers corps of Jesuits.",France,48.9,2.3,religious reform
"The Dominican Republic signs an agreement with the United States to allow the U.S. to administer the collection of customs taxes for Santo Domingo for 50 years, with the U.S. to assume responsibility for payment of the Republic's debts to foreign nations from Dominican income. The agreement is done as an exercise of the "" Roosevelt Corollary "" to the Monroe Doctrine .",Dominican Republic,18.7,-70.1,purchase or sale of territory
Maurice Rouvier forms a government as the new Prime Minister of France .,France,48.9,2.3,none
"Tsar Nicholas II appoints General Dmitri Trepov to be the Governor-General of Saint Petersburg , with absolute power to issue regulations to keep order.","Saint Petersburg, Russia",59.9,30.3,none
"(January 13 O.S. in Russia) Russian Revolution of 1905 : The Imperial Russian Army opens fire on demonstrators in Riga , Governorate of Livonia , killing 73 people and injuring 200. Elections are held in Hungary for the 413 seats in the Országgyűlés , the Kingdom's parliament within Austria-Hungary. Voters overwhelmingly reject the Liberal Party , led by Prime Minister István Tisza , that has ruled Hungary since 1875, and the Liberals lose 118 of their 277 seats, but Emperor Franz Joseph I of Austria-Hungary (in his capacity as King Ferenc József) ignores the results and keeps Tisza in power.","Riga, Governorate of Livonia",56.95,24.1,revolution or coup
"The Nelson Act is passed into law in the United States, providing for racial segregation of schools in the Alaska Territory.","Alaska Territory, United States",64.8,-153.4,none
"Rioting breaks out in Warsaw , at this time under Russian Imperial rule with a Russian Governor-General.",Warsaw,52.2,21.0,revolution or coup
"The U.S. Supreme Court renders its unanimous decision in the landmark case of Swift & Co. v. United States , allowing the federal government to regulate monopolies.",United States,38.9,-77.0,financial reform
"""The greatest ball of the Gilded Age "" is held by James Hazen Hyde , the 28-year-old heir to the fortune of the founder of the Equitable Life Assurance Association"" at New York City's Sherry Hotel, spending $200,000 for a ""Louis XV costume ball"" for invited guests.","New York City, United States",40.7,-74.0,none
U.S. Senator John H. Mitchell of Oregon is indicted by a federal grand jury on charges arising from a scandal involving land grants in the state and illegally using his influence for private clients.,"Oregon, United States",44.9,-123.1,financial reform
"The first performance of A Shropshire Lad , the setting to music of the 1896 set of 63 poems of A. E. Housman by Arthur Somervell as a song-cycle , takes place at Aeolian Hall in London .","London, United Kingdom",51.5,-0.1,none
A simultaneous uprising begins at six cities in Argentina against the government of President Manuel Quintana .,Argentina,-34.0,-64.0,revolution or coup
"The French ship Anjou is wrecked off of the coast of the uninhabited Auckland Island , located 290 miles (470 km) from the nearest inhabited land in New Zealand . The castaways live on the isle for more than three months until being rescued on May 7.",Auckland Island,-50.8,167.1,none
"Eliel Soisalon-Soininen , the Chancellor of Justice of the Grand Duchy of Finland (at this time part of the Russian Empire) is assassinated at Helsingfors (Helsinki).","Helsinki, Finland",60.2,24.9,terrorist act
"Prince A. Morrow begins the movement in the U.S. for sex education , with the founding of the Society of Sanitary and Moral Prophylaxis.",United States,37.0,-95.7,none
"The Switzerland national football team plays its first international game, losing to France , 1 to 0.",Switzerland,47.0,8.0,none
Six of the 11 crew of the British Royal Navy submarine HMS A5 are killed by a pair of explosions caused by gasoline fumes in port in Ireland.,Ireland,53.5,-8.5,cataclysm or fire
"Grand Duke Sergei Alexandrovich of Russia , the Governor-General of Moscow and uncle of Tsar Nicholas II, is assassinated.","Moscow, Russia",55.8,37.6,terrorist act
"In the Russo-Japanese War , the Battle of Mukden begins in Manchuria .","Mukden, Manchuria",43.5,127.5,war
"Sir Wilfrid Laurier introduces a resolution in the Canadian parliament proposing that two new provinces, Alberta and Saskatchewan , be created out of the Northwest Territories.",Canada,56.0,-106.0,purchase or sale of territory
Rotary International is founded in Chicago in the U.S.,"Chicago, United States",41.88,-87.63,none
